Time,Fixed_inj1,Net_Fixed_inj1,Fixed_inj2,Net_Fixed_inj2,Prod1,Net_Prod1,Prod2,Net_Prod2,Prod3,Net_Prod3,Prod4,Net_Prod4
82,686.1402858965562,101202.65181176395,349.8010261846171,58002.147617089395,407.6717966880187,58095.973379152085,443.6876682005229,65774.26153846509,453.49806637614705,66645.67922797891,383.30377643789507,40979.87262609799
83,524.0635883307599,101726.7154000947,301.4726423112731,58303.62025940067,348.17655886006816,58444.14993801215,442.2037855250665,66216.46532399015,424.44488536814237,67070.12411334705,375.5115930004218,41355.384219098414
84,560.8423135030564,102287.55771359777,331.39691365255374,58635.017173053224,327.3442188195867,58771.49415683174,317.34232606107565,66533.80765005123,386.09018152060844,67456.21429486765,347.2553153869108,41702.63953448532
85,352.9015029141592,102640.45921651192,331.1547232785448,58966.17189633177,316.99556137577224,59088.48971820751,328.17095725082186,66861.97860730205,416.939366410172,67873.15366127781,463.0040923937891,42165.643626879115
86,924.5182986955443,103564.97751520747,279.3234254547521,59245.49532178652,381.1950280484171,59469.68474625592,395.5004614761772,67257.47906877822,411.8451032278308,68284.99876450564,350.9542709917114,42516.59789787083
87,388.5857656008759,103953.56328080835,318.437148841324,59563.93247062784,323.35971192437404,59793.044458180295,306.5547239362499,67564.03379271447,426.3165364596214,68711.31530096526,433.5842809759106,42950.18217884674
88,762.1937020515464,104715.7569828599,259.9070743781293,59823.83954500597,357.74468315529157,60150.78914133558,378.8255707859428,67942.85936350042,421.93571365086433,69133.25101461612,355.79068195686546,43305.97286080361
89,737.1188715107893,105452.87585437068,355.1201118363103,60178.95965684228,362.87991719365954,60513.669058529245,404.95531627408656,68347.81467977451,403.5148144561306,69536.76582907225,527.6958934252472,43833.66875422886
90,598.0542306013598,106050.93008497205,301.10324077957364,60480.06289762185,314.09131598189987,60827.76037451115,330.0169248136786,68677.8316045882,445.32491674242965,69982.09074581468,437.9218475888476,44271.590601817705
91,411.71323420776,106462.6433191798,174.36616271849002,60654.42906034034,293.3262290623,61121.08660357345,287.4393808068706,68965.27098539507,374.36772142618844,70356.45846724087,323.4526263766524,44595.04322819436
92,335.79870870336515,106798.44202788317,272.58828596251766,60927.01734630286,242.48567460119568,61363.572278174644,231.7077913788414,69196.9787767739,342.88370890128243,70699.34217614215,456.6092758101945,45051.65250400455
93,629.0533096736161,107427.49533755679,291.8244043295592,61218.84175063242,307.9189834028979,61671.49126157754,302.3698538607819,69499.34863063469,361.4842026475067,71060.82637878966,386.97616619415635,45438.62867019871
94,555.7113234131858,107983.20666096997,221.59372843491323,61440.43547906733,298.29289284296897,61969.78415442051,341.5333036421348,69840.88193427683,343.8909658875211,71404.71734467718,347.2368368053853,45785.8655070041
95,302.7878837602333,108285.9945447302,189.26102790336088,61629.69650697069,221.23675148806433,62191.020905908576,240.16668659598452,70081.04862087281,342.0514889841866,71746.76883366136,311.2430507468052,46097.1085577509
96,372.0186544536428,108658.01319918384,257.0747945708141,61886.77130154151,232.1064630486145,62423.12736895719,244.1098730468009,70325.15849391962,309.4883725921707,72056.25720625353,310.86269696554035,46407.97125471644
97,458.27832804712926,109116.29152723098,263.63008456362303,62150.40138610513,275.35535511161373,62698.4827240688,292.0193711375312,70617.17786505715,358.6643722779761,72414.9215785315,466.22811318298596,46874.199367899426
98,599.2207989423165,109715.5123261733,302.0311444899143,62452.43253059504,287.0942242556932,62985.576948324495,342.1019153497805,70959.27978040693,357.0694784279627,72771.99105695946,336.60976954556384,47210.80913744499
99,553.9732013312192,110269.48552750451,264.95227578045086,62717.38480637549,262.18075510052694,63247.75770342502,327.9389697359598,71287.21875014289,351.0631257177363,73123.0541826772,492.089551662019,47702.89868910701
100,274.4304887558758,110543.9160162604,254.4984995843073,62971.8833059598,253.70596432327025,63501.46366774829,268.99821029297294,71556.21696043586,343.2064566706296,73466.26063934782,310.0555263995669,48012.95421550658
101,277.0793262419889,110820.99534250239,247.56838302831844,63219.45168898811,239.6024204684318,63741.06608821672,229.28535056642332,71785.50231100229,284.68651128081206,73750.94715062864,452.2955666447535,48465.24978215133
102,779.479018249374,111600.47436075176,312.94301680804045,63532.394705796156,277.6995228765235,64018.765611093244,403.9660933851383,72189.46840438743,330.7939947164006,74081.74114534503,565.295133686595,49030.54491583793
103,247.91253558750068,111848.38689633926,124.98865854443879,63657.383364340596,220.88956252330533,64239.65517361655,267.7623917939267,72457.23079618135,322.2643552338364,74404.00550057887,304.239262015688,49334.78417785362
104,368.9728934478135,112217.35978978708,343.42166704158325,64000.80503138218,250.27590301615749,64489.9310766327,282.43139340949114,72739.66218959085,293.1698492662145,74697.17534984509,374.83126682356095,49709.615444677176
105,547.668019195805,112765.02780898288,233.51618408473198,64234.32121546691,303.4107109603619,64793.34178759307,327.58555820219374,73067.24774779304,367.0747255605163,75064.2500754056,389.6826108215918,50099.298055498766
